sample,Year,Week,Manure Treatment,Tillage
16W0P2,2016,0,LFM,
16W0P5,2016,0,EFM,CP
16W0P16,2016,0,LFM,
16W0P21,2016,0,EFM,CP
16W0P32,2016,0,SM,
16W0P36,2016,0,SM,
16W1P2,2016,1,LFM,
16W1P5,2016,1,EFM,CP
16W1P20,2016,1,LFM,
16W2P7,2016,2,EFM,NT
16W2P10,2016,2,Control,
16W2P16,2016,2,LFM,
16W2P21,2016,2,EFM,CP
16W2P26,2016,2,EFM,CP
16W2P29,2016,2,Control,
16W2P32,2016,2,SM,
16W2P36,2016,2,SM,
16W3P1,2016,3,EFM,NT
16W3P2,2016,3,LFM,
16W3P5,2016,3,EFM,CP
16W3P10,2016,3,Control,
16W3P15,2016,3,Control,
16W3P16,2016,3,LFM,
16W3P20,2016,3,LFM,
16W3P21,2016,3,EFM,CP
16W3P26,2016,3,EFM,CP
16W3P29,2016,3,Control,
16W3P30,2016,3,EFM,NT
16W3P32,2016,3,SM,
16W3P36,2016,3,SM,
16W4P2,2016,4,LFM,
16W4P10,2016,4,EFM,CP
16W4P5,2016,4,Control,
16W4P16,2016,4,LFM,
16W4P20,2016,4,LFM,
16W4P21,2016,4,EFM,CP
16W4P30,2016,4,EFM,NT
16W4P36,2016,4,SM,
16W5P1,2016,5,EFM,NT
16W5P5,2016,5,EFM,CP
16W5P16,2016,5,LFM,
16W5P20,2016,5,LFM,
16W5P30,2016,5,EFM,NT
16W6P1,2016,6,EFM,NT
16W6P2,2016,6,LFM,
16W6P5,2016,6,EFM,CP
16W6P6,2016,6,SM,
16W6P10,2016,6,Control,
16W6P16,2016,6,Control,
16W6P20,2016,6,LFM,
16W6P21,2016,6,LFM,
16W6P26,2016,6,EFM,CP
16W6P30,2016,6,EFM,NT
16W6P32,2016,6,SM,
16W6P36,2016,6,SM,
16W7P1,2016,7,EFM,NT
16W7P2,2016,7,LFM,
16W7P5,2016,7,EFM,CP
16W7P6,2016,7,SM,
16W7P7,2016,7,EFM,NT
16W7P10,2016,7,Control,
16W7P15,2016,7,Control,
16W7P16,2016,7,LFM,
16W7P20,2016,7,LFM,
16W7P21,2016,7,EFM,CP
16W7P26,2016,7,EFM,CP
16W7P29,2016,7,Control,
16W7P30,2016,7,EFM,NT
16W7P32,2016,7,SM,
16W7P36,2016,7,SM,
16W8P1,2016,8,EFM,NT
16W8P2,2016,8,LFM,
16W8P5,2016,8,EFM,CP
16W8P6,2016,8,SM,
16W8P7,2016,8,EFM,NT
16W8P10,2016,8,Control,
16W8P15,2016,8,Control,
16W8P16,2016,8,LFM,
16W8P20,2016,8,LFM,
16W8P21,2016,8,EFM,CP
16W8P26,2016,8,EFM,CP
16W8P29,2016,8,Control,
16W8P30,2016,8,EFM,NT
16W8P32,2016,8,SM,
16W8P36,2016,8,SM,
16W9P1,2016,9,EFM,NT
16W9P2,2016,9,LFM,
16W9P5,2016,9,EFM,CP
16W9P6,2016,9,SM,
16W9P7,2016,9,EFM,NT
16W9P10,2016,9,Control,
16W9P15,2016,9,Control,
16W9P16,2016,9,LFM,
16W9P20,2016,9,LFM,
16W9P21,2016,9,EFM,CP
16W9P26,2016,9,EFM,CP
16W9P29,2016,9,Control,
16W9P30,2016,9,EFM,NT
16W9P32,2016,9,SM,
16W9P36,2016,9,SM,
16W10P1,2016,10,EFM,NT
16W10P2,2016,10,LFM,
16W10P5,2016,10,EFM,CP
16W10P6,2016,10,SM,
16W10P7,2016,10,EFM,NT
16W10P10,2016,10,Control,
16W10P15,2016,10,Control,
16W10P16,2016,10,LFM,
16W10P20,2016,10,LFM,
16W10P21,2016,10,EFM,CP
16W10P26,2016,10,EFM,CP
16W10P29,2016,10,Control,
16W10P30,2016,10,EFM,NT
16W10P32,2016,10,SM,
16W10P36,2016,10,SM,
16W11P1,2016,11,EFM,NT
16W11P2,2016,11,LFM,
16W11P5,2016,11,EFM,CP
16W11P6,2016,11,SM,
16W11P16,2016,11,LFM,
16W11P20,2016,11,LFM,
16W11P21,2016,11,EFM,CP
16W11P26,2016,11,EFM,CP
16W11P29,2016,11,Control,
16W11P30,2016,11,EFM,NT
16W11P32,2016,11,SM,
16W11P36,2016,11,SM,
16W12P1,2016,12,EFM,NT
16W12P2,2016,12,LFM,
16W12P5,2016,12,EFM,CP
16W12P6,2016,12,SM,
16W12P10,2016,12,Control,
16W12P16,2016,12,LFM,
16W12P21,2016,12,EFM,CP
16W12P26,2016,12,EFM,CP
16W12P30,2016,12,EFM,NT
16W13P1,2016,13,EFM,NT
16W13P2,2016,13,LFM,
16W13P5,2016,13,EFM,CP
16W13P6,2016,13,SM,
16W13P7,2016,13,EFM,NT
16W13P10,2016,13,Control,
16W13P15,2016,13,Control,
16W13P16,2016,13,LFM,
16W13P20,2016,13,LFM,
16W13P21,2016,13,EFM,CP
16W13P26,2016,13,EFM,CP
16W13P30,2016,13,EFM,NT
16W13P32,2016,13,SM,
16W13P36,2016,13,SM,
16W14P1,2016,14,EFM,NT
16W14P2,2016,14,LFM,
16W14P6-1,2016,14,EFM,CP
16W14P6-2,2016,14,SM,
16W14P10,2016,14,Control,
16W14P15,2016,14,Control,
16W14P16,2016,14,LFM,
16W14P20,2016,14,LFM,
16W14P21,2016,14,EFM,CP
16W14P26,2016,14,EFM,CP
16W14P30,2016,14,EFM,NT
16W14P36,2016,14,SM,
16W15P2,2016,15,SM,
16W15P5,2016,15,LFM,
16W15P20,2016,15,EFM,CP
16W15P30,2016,15,LFM,
16W16P1,2016,16,EFM,NT
16W16P2,2016,16,EFM,NT
16W16P5,2016,16,LFM,
16W16P6,2016,16,EFM,CP
16W16P16,2016,16,SM,
16W16P30,2016,16,LFM,
16W16P32,2016,16,EFM,NT
16W17P2,2016,17,SM,
16W17P16,2016,17,LFM,
16W17P20,2016,17,LFM,
16W17P26,2016,17,LFM,
16W17P30,2016,17,EFM,CP
16W18P2,2016,18,EFM,NT
16W18P5,2016,18,LFM,
16W18P6,2016,18,EFM,CP
16W18P16,2016,18,SM,
16W18P21,2016,18,LFM,
16W18P26,2016,18,EFM,CP
16W18P30,2016,18,EFM,CP
16W19P2,2016,19,EFM,NT
16W19P5,2016,19,LFM,
16W19P15,2016,19,EFM,CP
16W19P30,2016,19,Control,
16W20P2,2016,20,EFM,NT
16W20P16,2016,20,LFM,
16W20P30,2016,20,LFM,
16W21P1,2016,21,EFM,NT
16W21P2,2016,21,EFM,NT
16W21P5,2016,21,LFM,
16W21P6,2016,21,EFM,CP
16W21P7,2016,21,SM,
16W21P10,2016,21,EFM,NT
16W21P15,2016,21,Control,
16W21P16,2016,21,Control,
16W21P20,2016,21,LFM,
16W21P21,2016,21,LFM,
16W21P26,2016,21,EFM,CP
16W21P29,2016,21,EFM,CP
16W21P30,2016,21,Control,
16W21P32,2016,21,EFM,NT
16W21P36,2016,21,SM,
16W22P1,2016,22,SM,
16W22P2,2016,22,EFM,NT
16W22P5,2016,22,LFM,
16W22P6,2016,22,EFM,CP
16W22P7,2016,22,SM,
16W22P10,2016,22,EFM,NT
16W22P15,2016,22,Control,
16W22P16,2016,22,Control,
16W22P20,2016,22,LFM,
16W22P21,2016,22,LFM,
16W22P26,2016,22,EFM,CP
16W22P30,2016,22,EFM,CP
16W22P36,2016,22,SM,
16W23P1,2016,23,EFM,NT
16W23P2,2016,23,LFM,
16W23P5,2016,23,EFM,CP
16W23P6,2016,23,SM,
16W23P7,2016,23,EFM,NT
16W23P10,2016,23,Control,
16W23P15,2016,23,Control,
16W23P16,2016,23,LFM,
16W23P20,2016,23,LFM,
16W23P21,2016,23,EFM,CP
16W23P26,2016,23,EFM,CP
16W23P29,2016,23,Control,
16W23P30,2016,23,EFM,NT
16W23P32,2016,23,SM,
16W23P36,2016,23,SM,
17W0P5,2017,0,EFM,CP
17W0P11,2017,0,EFM,NT
17W0P14,2017,0,LFM,
17W0P21,2017,0,EFM,CP
17W0P23,2017,0,EFM,NT
17W0P24,2017,0,Control,
17W0P32,2017,0,SM,
17W0P36,2017,0,SM,
17W1P3,2017,1,Control,
17W1P5,2017,1,EFM,CP
17W1P11,2017,1,EFM,NT
17W1P14,2017,1,LFM,
17W1P21,2017,1,EFM,CP
17W1P23,2017,1,EFM,NT
17W1P24,2017,1,Control,
17W1P25,2017,1,LFM,
17W1P26,2017,1,EFM,CP
17W1P27,2017,1,EFM,NT
17W1P28,2017,1,Control,
17W1P31,2017,1,LFM,NT
17W1P32,2017,1,SM,
17W1P36,2017,1,SM,
17W2P3,2017,2,Control,
17W2P5,2017,2,EFM,CP
17W2P6,2017,2,SM,
17W2P11,2017,2,EFM,NT
17W2P14,2017,2,LFM,
17W2P21,2017,2,EFM,CP
17W2P23,2017,2,EFM,NT
17W2P24,2017,2,Control,
17W2P25,2017,2,LFM,
17W2P26,2017,2,EFM,CP
17W2P27,2017,2,EFM,NT
17W2P28,2017,2,Control,
17W2P31,2017,2,LFM,NT
17W2P32,2017,2,SM,
17W2P36,2017,2,SM,
17W3P3,2017,3,Control,
17W3P5,2017,3,EFM,CP
17W3P6,2017,3,SM,
17W3P11,2017,3,EFM,NT
17W3P14,2017,3,LFM,
17W3P21,2017,3,EFM,CP
17W3P23,2017,3,EFM,NT
17W3P24,2017,3,Control,
17W3P25,2017,3,LFM,
17W3P26,2017,3,EFM,CP
17W3P27,2017,3,EFM,NT
17W3P27,2017,3,Control,
17W3P31,2017,3,LFM,NT
17W3P32,2017,3,SM,
17W3P36,2017,3,SM,
17W4P3,2017,4,Control,
17W4P5,2017,4,EFM,CP
17W4P6,2017,4,SM,
17W4P11,2017,4,EFM,NT
17W4P14,2017,4,LFM,
17W4P21,2017,4,EFM,CP
17W4P23,2017,4,EFM,NT
17W4P24,2017,4,Control,
17W4P25,2017,4,LFM,
17W4P26,2017,4,EFM,CP
17W4P27,2017,4,EFM,NT
17W4P28,2017,4,Control,
17W4P31,2017,4,LFM,NT
17W4P32,2017,4,SM,
17W4P36,2017,4,SM,
17W5P3,2017,5,Control,
17W5P5,2017,5,EFM,CP
17W5P6,2017,5,SM,
17W5P11,2017,5,EFM,NT
17W5P14,2017,5,LFM,
17W5P21,2017,5,EFM,CP
17W5P23,2017,5,EFM,NT
17W5P24,2017,5,Control,
17W5P25,2017,5,LFM,
17W5P26,2017,5,EFM,CP
17W5P28,2017,5,Control,
17W5P31,2017,5,LFM,NT
17W5P36,2017,5,SM,
17W6P3,2017,6,Control,
17W6P5,2017,6,EFM,CP
17W6P6,2017,6,SM,
17W6P11,2017,6,EFM,NT
17W6P14,2017,6,LFM,
17W6P21,2017,6,EFM,CP
17W6P23,2017,6,EFM,NT
17W6P24,2017,6,Control,
17W6P25,2017,6,LFM,
17W6P26,2017,6,EFM,CP
17W6P27,2017,6,EFM,NT
17W6P28,2017,6,Control,
17W6P31,2017,6,LFM,NT
17W6P32,2017,6,SM,
17W6P36,2017,6,SM,
17W7P3,2017,7,Control,
17W7P5,2017,7,EFM,CP
17W7P6,2017,7,SM,
17W7P11,2017,7,EFM,NT
17W7P14,2017,7,LFM,
17W7P21,2017,7,EFM,CP
17W7P23,2017,7,EFM,NT
17W7P24,2017,7,Control,
17W7P25,2017,7,LFM,
17W7P26,2017,7,EFM,CP
17W7P27,2017,7,EFM,NT
17W7P28,2017,7,Control,
17W7P31,2017,7,LFM,NT
17W7P32,2017,7,SM,
17W7P36,2017,7,SM,
17W8P3,2017,8,Control,
17W8P5,2017,8,EFM,CP
17W8P6,2017,8,SM,
17W8P11,2017,8,EFM,NT
17W8P14,2017,8,LFM,
17W8P21,2017,8,EFM,CP
17W8P23,2017,8,EFM,NT
17W8P24,2017,8,Control,
17W8P25,2017,8,LFM,
17W8P26,2017,8,EFM,CP
17W8P28,2017,8,Control,
17W8P31,2017,8,LFM,NT
17W8P32,2017,8,SM,
17W8P36,2017,8,SM,
17W9P3,2017,9,Control,
17W9P5,2017,9,EFM,CP
17W9P6,2017,9,SM,
17W9P11,2017,9,EFM,NT
17W9P14,2017,9,LFM,
17W9P23,2017,9,EFM,NT
17W9P24,2017,9,Control,
17W9P25,2017,9,LFM,
17W9P31,2017,9,LFM,NT
17W10P3,2017,10,Control,
17W10P5,2017,10,EFM,CP
17W10P14,2017,10,LFM,
17W10P31,2017,10,LFM,NT
17W11P3,2017,11,Control,
17W11P5,2017,11,EFM,CP
17W11P11,2017,11,EFM,NT
17W11P14,2017,11,LFM,
17W11P31,2017,11,LFM,NT
17W12P3,2017,12,Control,
17W12P5,2017,12,EFM,CP
17W12P6,2017,12,SM,
17W12P11,2017,12,EFM,NT
17W12P14,2017,12,LFM,
17W12P23,2017,12,EFM,NT
17W12P24,2017,12,Control,
17W12P25,2017,12,LFM,
17W12P26,2017,12,EFM,CP
17W12P31,2017,12,LFM,NT
17W13P3,2017,13,Control,
17W13P5,2017,13,EFM,CP
17W13P6,2017,13,SM,
17W13P11,2017,13,EFM,NT
17W13P14,2017,13,LFM,
17W13P21,2017,13,EFM,CP
17W13P23,2017,13,EFM,NT
17W13P24,2017,13,Control,
17W13P25,2017,13,LFM,
17W13P26,2017,13,EFM,CP
17W13P31,2017,13,LFM,NT
17W14P3,2017,14,Control,
17W14P6,2017,14,EFM,CP
17W14P11,2017,14,EFM,NT
17W14P14,2017,14,LFM,
17W14P31,2017,14,LFM,NT
17W15P5,2017,15,EFM,CP
17W15P31,2017,15,LFM,NT
17W16P3,2017,16,Control,
17W16P5,2017,16,EFM,CP
17W16P6,2017,16,SM,
17W16P11,2017,16,EFM,NT
17W16P14,2017,16,LFM,
17W16P21,2017,16,EFM,CP
17W16P23,2017,16,EFM,NT
17W16P24,2017,16,Control,
17W16P25,2017,16,LFM,
17W16P26,2017,16,EFM,CP
17W16P28,2017,16,Control,
17W16P31,2017,16,LFM,NT
17W16P32,2017,16,SM,
17W16P36,2017,16,SM,
17W17P3,2017,17,Control,
17W17P5,2017,17,EFM,CP
17W17P11,2017,17,EFM,NT
17W17P14,2017,17,LFM,
17W17P23,2017,17,EFM,NT
17W17P31,2017,17,LFM,NT